選択したテキストを太字にする時の ショートカットキーは？,2,⌘ + A,⌘ + B,⌘ + C
選択してテキストを斜体にする時の ショートカットキーは？,1,⌘ + I,⌘ + L,⌘ + W
Webリンクを追加する時の ショートカットキーは？,1,⌘ + K,⌘ + U,⌘ + A
選択したテキストに下線を引く時の ショートカットキーは？,3,⌘ + N,⌘ + S,⌘ + U
左揃えにする時の ショートカットキーは？,2,⌘ + },⌘ + {,⌘ + (
右揃えにする時の ショートカットキーは？,3,⌘ + (,⌘ + M,⌘ + }
中央揃えにする時の ショートカットキーは？,3,control + ⌘ + |,shift + ⌘ + /,shift + ⌘ + |
「フォント」ウインドウの表示・非表示を切り替える時の ショートカットキーは？,1,⌘ + T,⌘ + K,⌘ + M
書類内でスペルに誤りのある単語を検索する時の ショートカットキーは？,2,⌘ + -,⌘ + ;,⌘ + /
1ページ分上にスクロールする時の ショートカットキーは？,1,fn + 上矢印,fn + 右矢印,esc + 上矢印
1ページ分下にスクロールする時の ショートカットキーは？,3,fn + 左矢印,fn + 上矢印,fn + 下矢印
書類の先頭までスクロールする時の ショートカットキーは？,2,shift + 右矢印,fn + 左矢印,shift + 左矢印
書類の末尾までスクロールする時の ショートカットキーは？,1,fn + 右矢印,fn + 上矢印,⌘ + 右矢印
選択した項目の書式設定をクリップボードにコピーする時の ショートカットキーは？,3,option + ⌘ + X,tab + ⌘ + C,option + ⌘ + C
コピーしたスタイルを選択した項目に適用する時の ショートカットキーは？,1,option + ⌘ + V,option + fn + F,option + fn + V
ペーストして書式スタイルを合わせる時の ショートカットキーは？,2,option + tab + ⌘ + V,option + shift + ⌘ + V,esc + shift + ⌘ + K
書類設定を選択するためのウインドウを表示する時の ショートカットキーは？,1,shift + ⌘ + P,shift + ⌘ + V,control + ⌘ + P
「別名で保存」ダイアログを表示する時の ショートカットキーは？,3,fn + ⌘ + P,shift + tab + R,shift + ⌘ + S
